,Unnamed: 0,index,contract_id,ico,dlhy_nedoplatky,pohladavky_statu,employees,competition,money_saved,money_spent,sales,profit,company_age
1112,1549,1549,414934,35955678.0,0,0,250,4,7.989400000000002,21540000.0,42189158.0,-10250116,5333.0
1113,1550,1550,415811,35692715.0,0,0,25,2,0.0,400000.0,32284598.0,438956,8715.0
1114,1551,1551,415207,31333320.0,0,0,1000,1,1.6598000000000002,1940000.0,236127000.0,16033000,9621.0
1115,1552,1552,415619,17320429.0,0,0,100,1,2.9445,199865.0,67611705.0,159149,10499.0
1116,1554,1554,412729,46931694.0,0,0,10,3,-2.8066,12613.0,642606.0,36715,2695.0
1117,1555,1555,414171,36416291.0,0,0,10,3,11.7846,428008.0,4615837.0,59667,5917.0
1118,1556,1556,406324,43833675.0,0,0,1,3,1.1540000000000001,394700.0,250363.0,2724,4542.0
1119,1557,1557,416311,35870150.0,0,0,5,1,0.0,220900.0,8463592.0,303078,6005.0
1120,1558,1558,415799,31611788.0,0,0,500,8,3.1564,585000.0,111634061.0,2918489,9402.0
1121,1559,1559,416114,36526185.0,0,0,250,4,7.8885,203410.0,29166770.0,93320,8135.0
1122,1560,1560,414823,36330841.0,0,0,5,2,0.9995,100252.0,4132503.0,-318081,6057.0
1123,1561,1561,414823,44047622.0,0,0,5,3,1.3357,17220.0,2285200.0,36076,4416.0
1124,1563,1563,412485,31595545.0,0,0,250,1,0.0,348182.0,168651000.0,367255000,9616.0
1125,1564,1564,412591,47465433.0,0,0,1,3,0.0023,42767.0,492756.0,6663,2395.0
1126,1570,1570,412591,46635467.0,1,0,3,5,0.6146,134882.0,344528.0,-2646,2905.0
1127,1571,1571,412591,48170569.0,0,0,10,5,0.6146,134053.0,323291.0,2410,1794.0
1128,1572,1572,412591,47465433.0,0,0,1,5,0.0007,134882.0,492756.0,6663,2395.0
1129,1575,1575,412591,46635467.0,1,0,3,4,-1.2515,136570.0,344528.0,-2646,2905.0
1130,1577,1577,412591,47465433.0,0,0,1,4,0.7979999999999999,90876.0,492756.0,6663,2395.0
